	Domain	Phylum	Class	Order	Family	Genus	Species
OTU2112	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Heterospora	s:Heterospora_dimorphospora_SH208016.07FU
OTU2113	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Mycosphaerellaceae	g:Passalora	s:Passalora_passaloroides_SH206857.07FU
OTU2114	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Russulales	f:Wrightoporiaceae	g:Wrightoporia	s:Wrightoporia_japonica_SH190440.07FU
OTU2115	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Russulaceae	g:Russula	s:Puccinia_pappophori_SH630539.07FU
OTU2116	d:Fungi	p:Ascomycota	c:Lecanoromycetes	o:Lecanorales	f:Ramalinaceae	g:Toninia	s:Toninia_physaroides_SH526329.07FU
OTU2117	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Leucoagaricus	s:Leucoagaricus_dacrytus_SH213571.07FU
OTU2118	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Bagliettoa	s:Bagliettoa_parmigera_SH525141.07FU
OTU2119	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Septoglomus	s:Septoglomus_viscosum_SH216571.07FU
OTU2121	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Debaryomycetaceae	g:Hyphopichia	s:Hyphopichia_pseudoburtonii_SH629191.07FU
OTU2122	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU2123	d:Fungi	p:Mucoromycota	c:Mucoromycetes	o:Mucorales	f:Rhizopodaceae	g:Rhizopus	s:Rhizopus_arrhizus_SH368868.07FU
OTU2124	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Cortinariaceae	g:Cortinarius	s:Entoloma_azureosquamulosum_SH175524.07FU
OTU2128	d:Fungi	p:Basidiomycota	c:Pucciniomycetes	o:Pucciniales	f:Pucciniaceae	g:Endophyllum	s:Endophyllum_osteospermi_SH191563.07FU
OTU2129	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Trichomeriaceae	g:Knufia	s:Knufia_peltigerae_SH180461.07FU
OTU2130	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Dothideales	f:Aureobasidiaceae	g:Aureobasidium	s:Aureobasidium_pullulans_SH195776.07FU
OTU2131	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	UNKNOWN	UNKNOWN	UNKNOWN
OTU2132	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Comoclathris	s:Comoclathris_spartii_SH196009.07FU
OTU2134	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Russulaceae	g:Russula	s:Cyphobasidium_hypogymniicola_SH631634.07FU
OTU2136	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	f:Onygenaceae	g:Amauroascus	s:Amauroascus_oblatus_SH485238.07FU
OTU2137	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinopsis	s:Coprinopsis_episcopalis_SH030842.07FU
OTU2139	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Boletaceae	g:Ramaria	s:Pandora_kondoiensis_SH209650.07FU
OTU2140	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Hermatomyces	s:Sporormiella_minimoides_SH006638.07FU
OTU2141	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Filobasidium	s:Filobasidium_wieringae_SH221435.07FU
OTU2142	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariales_fam_Incertae_sedis	g:Liberomyces	s:Liberomyces_saliciphilus_SH205319.07FU
OTU2143	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Thelephoraceae	g:Entoloma	s:Reniforma_strues_SH640234.07FU
