"","Row.names","NMDS1","NMDS2","Domain","Phylum","Class","Order","Family","Genus","Species"
"910","OTU234",-0.076922866218217,0.0144757114169842,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Limonomyces","Limonomyces_roseipellis"
"911","OTU2340",-0.144988287152092,-0.342445644498566,"Fungi","unk","unk","unk","unk","unk","unk"
"912","OTU2342",0.0777851463355121,0.0585280835801991,"Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Powellomycetaceae","Powellomyces","unk"
"913","OTU2343",-0.17638020384365,0.0345205864714595,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"914","OTU2344",-0.099483389781477,0.135584420322822,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","unk"
"915","OTU2345",1.05115381236495,-0.0608526027097723,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","Sporormiella_intermedia"
"916","OTU2346",-0.00768021767448286,-0.10770643523225,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium_macerans"
"917","OTU2347",0.318577354112235,0.382816403123322,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"918","OTU2348",0.0745337356819919,-0.336217036124575,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"919","OTU235",0.0529154124608287,0.0325493026111235,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cladorrhinum","unk"
"920","OTU2352",-0.00148488073243973,-0.0774211653193785,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","unk"
"921","OTU2353",-0.11952882486357,-0.12515110037153,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","unk"
"922","OTU2355",0.118649057413068,-0.158435180335077,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","unk"
"923","OTU2356",0.154862585179777,0.0611244014777515,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Stagonospora","unk"
"924","OTU2357",0.158510272494495,-0.0533902840582525,"Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia_sebi"
"925","OTU2358",-0.110421786877541,0.090436857428902,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","unk"
