OTU,PROTAX
OTU4289,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU236,"Fungi,Glomeromycota,Glomeromycetes"
OTU423,"Fungi,Ascomycota,Sordariomycetes,Hypocreales,dummy_family_Acremonium,Acremonium_7028,Acremonium_persicinum_308180"
OTU412,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus_542406,unk"
OTU149,"Fungi,Basidiomycota,Agaricomycetes"
OTU310,"Fungi,unk"
OTU300,"Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Blumeria_600,Blumeria_graminis_309596"
OTU242,"Fungi,unk"
OTU47,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,Conocybe_deliquescens_521941"
OTU436,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia_9725,unk"
