"fungi.Grass.BOGR.1" "fungi.Ecotone.LATR.8" "fungi.Ecotone.PLJA.8" "fungi.Ecotone.PLJA.1" "fungi.Grass.BOER.4" "fungi.Grass.BOER.7" "fungi.Grass.PLJA.6" "fungi.Ecotone.LATR.5" "fungi.Shrub.LATR.8" "fungi.Grass.BOGR.7" "fungi.Ecotone.BOER.7" "fungi.Ecotone.PLJA.5" "fungi.Ecotone.BOER.4" "fungi.Ecotone.LATR.4" "fungi.Grass.PLJA.1" "fungi.Grass.PLJA.5" "fungi.Grass.BOGR.4" "fungi.Ecotone.PLJA.3" "fungi.Grass.BOGR.5" "fungi.Shrub.LATR.3" "fungi.Ecotone.BOER.8" "fungi.Ecotone.LATR.6" "fungi.Ecotone.BOER.3" "fungi.Grass.BOER.6" "fungi.Grass.PLJA.2" "fungi.Shrub.LATR.7" "fungi.Shrub.LATR.5" "fungi.Grass.BOER.5" "fungi.Ecotone.LATR.2" "fungi.Shrub.LATR.6" "fungi.Ecotone.LATR.3" "fungi.Ecotone.LATR.7" "fungi.Ecotone.PLJA.7" "fungi.Ecotone.BOER.2" "fungi.Grass.BOGR.3" "fungi.Shrub.LATR.2" "fungi.Shrub.LATR.4" "fungi.Ecotone.BOER.1" "fungi.Ecotone.BOER.5" "fungi.Grass.PLJA.7" "fungi.Grass.BOER.2" "fungi.Grass.BOGR.8" "fungi.Grass.BOGR.6" "fungi.Ecotone.BOER.6" "fungi.Grass.PLJA.8" "fungi.Grass.BOGR.2" "fungi.Grass.BOER.8" "fungi.Grass.PLJA.3" "fungi.Shrub.LATR.1" "fungi.Grass.BOER.3" "fungi.Ecotone.LATR.1" "fungi.Ecotone.PLJA.6" "fungi.Ecotone.PLJA.2" "fungi.Grass.BOER.1" "fungi.Ecotone.PLJA.4" "fungi.Grass.PLJA.4"
"OTU691" 0 1 0 0 0 0 18 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 23 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0
"OTU191" 8 22 255 118 0 16 57 88 8 0 121 0 41 1 0 199 36 0 0 538 44 0 82 0 94 131 29 0 0 63 337 64 276 118 1 20 54 102 3 0 18 0 19 131 0 0 43 0 80 9 0 33 72 0 0 0
"OTU22" 2 4863 832 343 1 19 16 229 14 155 29 0 353 187 0 2 9 230 42 42 88 272 3974 0 0 0 0 0 0 1 192 69 765 2610 0 1169 0 107 542 156 1 0 0 1 110 0 0 0 267 0 680 37 109 0 208 24
"OTU68" 154 0 1 0 33 799 0 45 894 3 12 142 0 154 0 389 2 1245 0 877 106 0 115 113 4 57 2 0 1 336 347 26 66 22 67 0 58 0 3 0 2 0 150 15 0 0 0 19 37 1 2 7 19 0 0 0
"OTU885" 0 0 30 0 0 0 36 0 0 21 0 29 0 0 0 0 49 0 34 0 0 0 0 0 0 0 0 0 0 0 0 123 0 0 0 0 0 0 0 92 14 199 0 0 281 0 15 0 104 0 55 0 0 88 0 0
"OTU276" 0 0 20 0 0 17 0 0 0 0 509 45 27 0 0 81 0 102 0 11 26 71 0 8 34 0 0 0 0 0 0 11 121 0 30 0 0 888 18 0 34 0 23 7 0 0 0 0 192 0 1 66 137 0 105 0
"OTU97" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"OTU451" 0 0 0 0 0 0 0 0 0 0 157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 451 31 53 0 0 0 0 271 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0
"OTU36" 1 3544 0 0 0 0 1 0 0 0 0 1 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 141 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 239 0 1
"OTU66" 35 0 0 0 21 2 0 0 0 1 1 0 0 0 0 29 1 0 0 1 0 1 0 1 31 0 0 0 1 0 0 3 12 0 0 0 0 0 0 0 27 0 0 0 0 1 0 0 0 5 0 0 0 0 0 0
"OTU244" 20 0 0 0 0 0 0 0 0 2177 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU364" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1213 0 0 0 8 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 16 0 0 5 0 0 0 0 0 1
